0.56,18.00,0.8164639472
0.59,19.00,0.8496759414
0.61,18.00,0.8811399459
0.64,19.00,0.9143519401
0.66,19.00,0.9474879264
0.69,18.00,0.9789519309
0.72,19.00,1.0122399330
0.74,19.00,1.0453759431
0.77,18.00,1.0767679214
0.79,19.00,1.1099798679
0.82,19.00,1.1431918144
0.85,18.00,1.1746557950
0.87,18.00,1.2061197757
0.90,18.00,1.2375117540
0.92,18.00,1.2689757347
0.95,19.00,1.3021876811
0.98,19.00,1.3353236913
1.00,18.00,1.3667876720
1.03,18.00,1.3982516479
1.05,18.00,1.4297156333
1.08,18.00,1.4612516403
1.11,19.00,1.4944635391
1.13,18.00,1.5259995460
1.16,19.00,1.5592114925
1.18,19.00,1.5924994945
1.21,19.00,1.6256355285
1.24,19.00,1.6588474273
1.26,19.00,1.6920594215
1.29,19.00,1.7251954078
1.31,19.00,1.7584834098
1.34,19.00,1.7916953563
1.37,19.00,1.8248313903
1.39,19.00,1.8581193923
1.42,19.00,1.8913312911
1.44,18.00,1.9227232933
1.47,18.00,1.9541872978
1.50,19.00,1.9873991966
1.52,19.00,2.0205352306
1.55,19.00,2.0536711215
1.57,19.00,2.0868830680
1.60,19.00,2.1200189590
1.63,19.00,2.1533069610
1.65,19.00,2.1865949630
1.68,19.00,2.2198069095
1.70,19.00,2.2530188560
1.73,18.00,2.2844829559
1.76,19.00,2.3176949024
1.78,19.00,2.3509829044
1.81,19.00,2.3841948509
1.83,19.00,2.4174067974
1.86,19.00,2.4505426883
1.89,19.00,2.4837546348
1.91,19.00,2.5171947479
1.94,19.00,2.5503306388
1.96,18.00,2.5817947387
1.99,18.00,2.6132588386
2.02,18.00,2.6446509361
2.04,19.00,2.6778628826
2.07,19.00,2.7110748291
2.09,19.00,2.7442107200
2.12,18.00,2.7756028175
2.15,18.00,2.8070669174
2.17,18.00,2.8384590148
2.20,18.00,2.8698511123
2.22,18.00,2.9013152122
2.25,19.00,2.9344511032
2.28,19.00,2.9676630020
2.30,18.00,2.9990550994
2.33,18.00,3.0304472446
2.35,18.00,3.0619113445
2.38,18.00,3.0935194492
2.41,18.00,3.1249115467
2.43,18.00,3.1563756465
2.46,18.00,3.1878397464
2.48,19.00,3.2210516929
2.51,18.00,3.2524437904
2.54,19.00,3.2856557369
2.56,19.00,3.3187916278
2.59,19.00,3.3520035743
2.61,19.00,3.3851394653
2.64,18.00,3.4165315628
2.67,18.00,3.4479956626
2.69,19.00,3.4812076091
2.72,18.00,3.5126717090
