8.11,0.0017439999,28.00,8.2217464447
8.15,0.0017480001,29.00,8.2724380493
8.19,0.0017439999,28.00,8.3212699890
8.23,0.0017439999,29.00,8.3718461990
8.27,0.0017439999,31.00,8.4259099960
8.31,0.0017439999,31.00,8.4799737930
8.35,0.0017480001,32.00,8.5359096527
8.39,0.0017480001,31.00,8.5900974273
8.43,0.0017439999,32.00,8.6459054946
8.47,0.0017439999,28.00,8.6947374343
8.51,0.0017480001,28.00,8.7436819076
8.55,0.0017439999,25.00,8.7872819900
8.59,0.0017480001,24.00,8.8292341232
8.63,0.0017480001,25.00,8.8729343414
8.67,0.0017439999,26.00,8.9182786941
8.71,0.0017480001,27.00,8.9654750823
8.75,0.0017480001,26.00,9.0109233856
8.79,0.0017480001,26.00,9.0563716888
8.83,0.0017439999,26.00,9.1017160415
8.86,0.0017480001,25.00,9.1454162597
8.90,0.0017519998,26.00,9.1909685134
8.94,0.0017439999,26.00,9.2363128662
8.98,0.0017480001,25.00,9.2800130844
9.02,0.0017439999,25.00,9.3236131668
9.06,0.0017439999,30.00,9.3759326934
9.10,0.0017480001,28.00,9.4248771667
9.14,0.0017480001,27.00,9.4720735549
9.18,0.0017439999,28.00,9.5209054946
9.22,0.0017439999,27.00,9.5679931640
9.26,0.0017480001,25.00,9.6116933822
9.30,0.0017519998,26.00,9.6572456359
9.34,0.0017439999,27.00,9.7043333053
9.38,0.0017439999,26.00,9.7496776580
9.42,0.0017439999,27.00,9.7967653274
9.46,0.0017439999,27.00,9.8438529968
9.50,0.0017480001,28.00,9.8927974700
9.54,0.0017480001,27.00,9.9399938583
9.58,0.0017439999,27.00,9.9870815277
9.62,0.0017439999,27.00,10.0341691970
9.66,0.0017519998,25.00,10.0779695510
9.70,0.0017400000,27.00,10.1249494552
9.74,0.0017480001,26.00,10.1703977584
9.78,0.0017439999,26.00,10.2157421112
9.82,0.0017439999,27.00,10.2628297805
9.86,0.0017480001,27.00,10.3100261688
9.90,0.0017480001,24.00,10.3519783020
9.94,0.0017439999,25.00,10.3955783843
9.98,0.0017439999,25.00,10.4391784667
10.02,0.0017480001,29.00,10.4898700714
10.06,0.0017519998,25.00,10.5336704254
10.10,0.0017439999,28.00,10.5825023651
10.15,0.0017439999,28.00,10.6313343048
10.19,0.0017439999,30.00,10.6836538314
10.23,0.0017480001,26.00,10.7291021347
10.27,0.0017439999,25.00,10.7727022171
10.31,0.0017439999,29.00,10.8232784271
10.35,0.0017439999,26.00,10.8686227798
10.40,0.0017559999,26.00,10.9142789840
10.44,0.0017480001,26.00,10.9597272872
10.48,0.0017439999,27.00,11.0068149566
10.52,0.0017439999,28.00,11.0556468963
10.56,0.0017439999,27.00,11.1027345657
10.60,0.0017439999,25.00,11.1463346481
10.65,0.0017400000,26.00,11.1915750503
10.69,0.0017439999,26.00,11.2369194030
10.73,0.0017559999,23.00,11.2773075103
10.77,0.0017439999,26.00,11.3226518630
10.81,0.0017439999,27.00,11.3697395324
10.85,0.0017480001,23.00,11.4099435806
10.89,0.0017400000,27.00,11.4569234848
10.94,0.0017480001,29.00,11.5076150894
10.98,0.0017480001,27.00,11.5548114776
11.02,0.0017439999,26.00,11.6001558303
11.06,0.0017480001,29.00,11.6508474349
11.10,0.0017439999,27.00,11.6979351043
11.14,0.0017480001,26.00,11.7433834075
11.19,0.0017439999,24.00,11.7852392196
11.23,0.0017439999,24.00,11.8270950317
11.27,0.0017439999,24.00,11.8689508438
11.31,0.0017439999,24.00,11.9108066558
11.35,0.0017439999,25.00,11.9544067382
11.39,0.0017480001,26.00,11.9998550415
11.44,0.0017439999,28.00,12.0486869812
11.48,0.0017480001,26.00,12.0941352844
11.52,0.0017439999,26.00,12.1394796371
11.56,0.0017480001,29.00,12.1901712417
11.60,0.0017480001,27.00,12.2373676300
11.64,0.0017439999,27.00,12.2844552993
11.69,0.0017480001,27.00,12.3316516876
11.73,0.0017559999,27.00,12.3790636062
11.77,0.0017400000,26.00,12.4243040084
11.81,0.0017439999,28.00,12.4731359481
11.85,0.0017480001,27.00,12.5203323364
11.89,0.0017439999,25.00,12.5639324188
11.93,0.0017439999,26.00,12.6092767715
11.98,0.0017400000,26.00,12.6545171737
12.02,0.0017439999,27.00,12.7016048431
12.06,0.0017519998,25.00,12.7454051971
12.10,0.0017439999,23.00,12.7855167388
12.14,0.0017480001,26.00,12.8309650421
12.18,0.0017439999,25.00,12.8745651245
12.23,0.0017480001,25.00,12.9182653427
12.27,0.0017480001,24.00,12.9602174758
12.31,0.0017439999,26.00,13.0055618286
12.35,0.0017400000,24.00,13.0473222732
12.39,0.0017480001,25.00,13.0910224914
12.43,0.0017439999,24.00,13.1328783035
12.48,0.0017439999,24.00,13.1747341156
12.52,0.0017480001,24.00,13.2166862487
12.56,0.0017439999,25.00,13.2602863311
12.60,0.0017480001,25.00,13.3039865493
12.64,0.0017480001,26.00,13.3494348526
12.68,0.0017400000,26.00,13.3946752548
12.73,0.0017480001,26.00,13.4401235580
12.77,0.0017480001,24.00,13.4820756912
12.81,0.0017480001,27.00,13.5292720794
12.85,0.0017480001,27.00,13.5764684677
12.89,0.0017480001,27.00,13.6236648559
12.93,0.0017480001,26.00,13.6691131591
12.97,0.0017480001,29.00,13.7198047637
13.02,0.0017480001,27.00,13.7670011520
13.06,0.0017559999,27.00,13.8144130706
13.10,0.0017400000,27.00,13.8613929748
13.14,0.0017439999,26.00,13.9067373275
13.18,0.0017480001,26.00,13.9521856307
13.22,0.0017400000,30.00,14.0043859481
13.27,0.0017439999,27.00,14.0514736175
13.31,0.0017480001,27.00,14.0986700057
13.35,0.0017480001,29.00,14.1493616104
13.39,0.0017519998,28.00,14.1984176635
13.43,0.0017439999,28.00,14.2472496032
13.47,0.0017480001,27.00,14.2944459915
13.52,0.0017480001,29.00,14.3451375961
13.56,0.0017439999,30.00,14.3974571228
13.60,0.0017439999,32.00,14.4532651901
13.64,0.0017439999,29.00,14.5038414001
13.68,0.0017439999,30.00,14.5561609268
13.72,0.0017519998,30.00,14.6087207794
13.77,0.0017400000,28.00,14.6574411392
13.81,0.0017439999,29.00,14.7080173492
13.85,0.0017439999,30.00,14.7603368759
13.89,0.0017480001,26.00,14.8057851791
13.93,0.0017439999,26.00,14.8511295318
13.97,0.0017439999,28.00,14.8999614715
14.01,0.0017439999,27.00,14.9470491409
14.06,0.0017519998,26.00,14.9926013946
14.10,0.0017439999,29.00,15.0431776046
14.14,0.0017439999,30.00,15.0954971313
14.18,0.0017480001,30.00,15.1479368209
14.22,0.0017439999,29.00,15.1985130310
14.26,0.0017480001,33.00,15.2561969757
14.31,0.0017439999,31.00,15.3102607727
14.35,0.0017480001,31.00,15.3644485473
14.39,0.0017480001,31.00,15.4186363220
14.43,0.0017480001,30.00,15.4710760116
14.47,0.0017439999,32.00,15.5268840789
14.51,0.0017480001,30.00,15.5793237686
14.56,0.0017439999,28.00,15.6281557083
14.60,0.0017439999,26.00,15.6735000610
14.64,0.0017439999,26.00,15.7188444137
14.68,0.0017400000,26.00,15.7640848159
14.72,0.0017480001,28.00,15.8130292892
14.76,0.0017439999,30.00,15.8653488159
14.81,0.0017480001,34.00,15.9247808456
14.85,0.0017480001,34.00,15.9842128753
14.89,0.0017439999,34.00,16.0435085296
14.93,0.0017439999,36.00,16.1062927246
14.97,0.0017480001,34.00,16.1657238006
15.01,0.0017480001,33.00,16.2234077453
15.05,0.0017480001,31.00,16.2775955200
15.10,0.0017400000,29.00,16.3280563354
15.14,0.0017439999,29.00,16.3786315917
15.18,0.0017439999,30.00,16.4309520721
15.22,0.0017400000,29.00,16.4814128875
15.26,0.0017439999,31.00,16.5354766845
15.30,0.0017439999,31.00,16.5895404815
15.35,0.0017480001,32.00,16.6454772949
15.39,0.0017519998,33.00,16.7032928466
15.43,0.0017400000,33.00,16.7607135772
15.47,0.0017480001,31.00,16.8149013519
15.51,0.0017439999,34.00,16.8741970062
15.55,0.0017439999,34.00,16.9334926605
15.60,0.0017439999,34.00,16.9927883148
15.64,0.0017400000,33.00,17.0502090454
15.68,0.0017439999,33.00,17.1077613830
15.72,0.0017519998,32.00,17.1638259887
15.76,0.0017480001,33.00,17.2215099334
15.80,0.0017439999,32.00,17.2773170471
15.85,0.0017439999,33.00,17.3348693847
15.89,0.0017439999,32.00,17.3906764984
15.93,0.0017439999,30.00,17.4429969787
15.97,0.0017439999,30.00,17.4953174591
16.01,0.0017439999,28.00,17.5441493988
16.05,0.0017519998,28.00,17.5932044982
16.09,0.0017439999,27.00,17.6402931213
16.14,0.0017439999,26.00,17.6856365203
16.18,0.0017439999,25.00,17.7292366027
16.22,0.0017439999,28.00,17.7780685424
16.26,0.0017439999,25.00,17.8216686248
16.30,0.0017480001,24.00,17.8636207580
16.34,0.0017439999,24.00,17.9054775238
16.39,0.0017559999,22.00,17.9441089630
16.43,0.0017439999,19.00,17.9772453308
16.47,0.0017439999,23.00,18.0173568725
16.51,0.0017439999,25.00,18.0609569549
16.55,0.0017439999,28.00,18.1097888946
16.59,0.0017480001,26.00,18.1552371978
16.64,0.0017439999,24.00,18.1970939636
16.68,0.0017439999,24.00,18.2389507293
16.72,0.0017559999,21.00,18.2758274078
16.76,0.0017439999,24.00,18.3176841735
16.80,0.0017439999,26.00,18.3630275726
16.84,0.0017480001,25.00,18.4067268371
16.89,0.0017480001,23.00,18.4469299316
16.93,0.0017439999,23.00,18.4870414733
16.97,0.0017439999,22.00,18.5254096984
17.01,0.0017480001,22.00,18.5638656616
17.05,0.0017519998,23.00,18.6041622161
17.09,0.0017439999,22.00,18.6425304412
17.13,0.0017439999,21.00,18.6791553497
17.18,0.0017439999,19.00,18.7122917175
17.22,0.0017439999,19.00,18.7454280853
17.26,0.0017480001,19.00,18.7786407470
17.30,0.0017519998,18.00,18.8101768493
17.34,0.0017480001,18.00,18.8416404724
17.38,0.0017480001,19.00,18.8748531341
17.43,0.0017439999,19.00,18.9079895019
17.47,0.0017439999,19.00,18.9411258697
17.51,0.0017439999,19.00,18.9742622375
17.55,0.0017439999,18.00,19.0056533813
17.59,0.0017480001,16.00,19.0336208343
17.63,0.0017439999,9.00,19.0493164062
17.67,0.0017439999,9.00,19.0650119781
17.71,0.0017439999,10.00,19.0824527740
17.76,0.0017519998,10.00,19.0999736785
17.80,0.0017480001,10.00,19.1174545288
17.84,0.0017480001,10.00,19.1349353790
17.88,0.0017480001,3.00,19.1401786804
17.92,0.0017439999,11.00,19.1593627929
17.96,0.0017480001,12.00,19.1803379058
18.01,0.0017480001,12.00,19.2013130187
18.05,0.0017439999,15.00,19.2274723052
18.09,0.0017519998,17.00,19.2572555541
18.13,0.0017480001,17.00,19.2869720458
18.17,0.0017480001,17.00,19.3166885375
18.21,0.0017480001,19.00,19.3499011993
18.25,0.0017439999,21.00,19.3865261077
18.30,0.0017439999,27.00,19.4336147308
18.34,0.0017439999,40.00,19.5033740997
18.38,0.0017480001,31.00,19.5575618743
18.42,0.0017519998,26.00,19.6031131744
18.46,0.0017480001,24.00,19.6450653076
18.50,0.0017519998,24.00,19.6871128082
18.55,0.0017439999,20.00,19.7219924926
18.59,0.0017480001,16.00,19.7499599456
18.63,0.0017439999,16.00,19.7778644561
18.67,0.0017480001,17.00,19.8075809478
18.71,0.0017480001,17.00,19.8372974395
18.75,0.0017519998,17.00,19.8670806884
18.80,0.0017519998,16.00,19.8951129913
18.84,0.0017439999,18.00,19.9265041351
